student_answer_id,question_paper,question_text,student_answer,model_answer,gap,
VOLTAGE_DIFF_DISCUSS_2_Q.2t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,There is a gap between the bulb terminal and the battery terminal .,A gap separates the terminals ., ,
VOLTAGE_DIFF_DISCUSS_2_Q.14t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,The bulb terminal and the battery terminal have different electrical states .,A gap separates the terminals .,a gap separates the terminals,
VOLTAGE_DIFF_DISCUSS_2_Q.18t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,Someone connected the terminals to different terminals of the battery .,Someone separated the terminals .,Someone separated the terminals .,
VOLTAGE_DIFF_DISCUSS_2_Q.21t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,There is a difference in electrical states .,A gap separates the terminals .,a gap separates the terminals,
DAMAGED_BULB_EXPLAIN_2_Q.22t,Beetle_Train,Why does a damaged bulb impact a circuit?,The path is open .,There is an open path ., ,
DAMAGED_BULB_EXPLAIN_2_Q.27t,Beetle_Train,Why does a damaged bulb impact a circuit?,A damaged bulb opens the path .,There is an open path ., ,
DAMAGED_BULB_EXPLAIN_2_Q.35t,Beetle_Train,Why does a damaged bulb impact a circuit?,A damaged bulb creates a break in the circuit .,A damaged bulb creates a gap ., ,
DAMAGED_BULB_EXPLAIN_2_Q.36t,Beetle_Train,Why does a damaged bulb impact a circuit?,A damaged bulb does not complete the circuit .,There is an incomplete circuit ., ,
DAMAGED_BULB_EXPLAIN_2_Q.39t,Beetle_Train,Why does a damaged bulb impact a circuit?,Because the damaged bulb damages the path in which it was connected to .,A damaged bulb creates a gap ., ,
DAMAGED_BULB_EXPLAIN_2_Q.46t,Beetle_Train,Why does a damaged bulb impact a circuit?,A damaged bulb stops the path from being closed .,There is no closed path ., ,
HYBRID_BURNED_OUT_WHY_Q3.6t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,A damaged bulb will affect another bulb if the damaged bulb is on the same closed path as the other bulb .,The same path must contain the damaged bulb and the other bulb ., ,
HYBRID_BURNED_OUT_WHY_Q3.7t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,A damaged bulb will affect another bulb if the damaged bulb is on the same closed path with the battery .,The same path must contain the damaged bulb and the other bulb .,the same path must contain damaged bulb and the other bulb,
HYBRID_BURNED_OUT_WHY_Q3.11t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,There is a gap in the path of the bulb terminal .,If the burned out bulb and the other bulb are in the same path the burned out bulb affects the other bulb .,If they are in the same path,
HYBRID_BURNED_OUT_WHY_Q3.12t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,A damaged bulb will affect another bulb if the damaged bulb is in the same path as the other bulb .,Affecting another bulb by burned out bulb depends on whether the burned out bulb and the other bulb are in the same path or not ., ,
HYBRID_BURNED_OUT_WHY_Q3.15t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,A damaged bulb will affect another bulb when it breaks the closed path with the battery .,If the burned out bulb and the other bulb are in the same path the burned out bulb affects the other bulb ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.23t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,A gap separates the terminals and someone connected the battery terminal and bulb terminal .,Someone connected the terminals .,Someone connected the terminals,
VOLTAGE_DIFF_DISCUSS_1_Q.24t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That the bulb terminal and battery terminal are on the same side of a disconnected circuit.,The terminals are in the same state .,The terminals are in the same state,
VOLTAGE_DIFF_DISCUSS_1_Q.28t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That there is no difference in electrical states of the two terminals.,The terminals are in the same state ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.30t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,The bulb terminal and the battery terminal have the same electrical state.,The terminals are in the same state ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.34t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,Someone connected the bulb terminal and the battery terminal .,Someone connected the terminals ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.36t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That someone did not connect the bulb to both sides of the battery .,Someone did not connect the terminals .,Someone connected the terminals,
BURNED_BULB_LOCATE_EXPLAIN_Q.51t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",If there is a voltage reading of non-zero it means that there is a change in the electrical states in the terminals .,A non-zero voltage means that the terminals have different electrical states ., ,
BURNED_BULB_LOCATE_EXPLAIN_Q.53t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",One will find out where is the difference in electrical states .,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb ., ,
BURNED_BULB_LOCATE_EXPLAIN_Q.59t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",One is able to identify the gap .,Measuring voltage indicates whether a gap separates the two terminals ., ,
BURNED_BULB_LOCATE_EXPLAIN_Q.60t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",One is able to find where the voltage begins . This helps one to locate the gap .,Measuring voltage indicates the place where the electrical state changes due to a gap .,indicates the place where the electrical state changes due to a gap,
BURNED_BULB_LOCATE_EXPLAIN_Q.64t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",The value of measurement indicates if the bulb is burned out .,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb .,electrical state changes,
SHORT_CIRCUIT_X_Q.13t,Beetle_Train,What do you think the red X means?,Someone ruined the battery .,someone damaged the battery ., ,
SHORT_CIRCUIT_X_Q.14t,Beetle_Train,What do you think the red X means?,That the battery connection does not work .,There is a short circuit .,there is a short circuit,
SHORT_CIRCUIT_X_Q.22t,Beetle_Train,What do you think the red X means?,That the battery has created a short circuit and is dangerous .,There is a short circuit ., ,
SHORT_CIRCUIT_X_Q.26t,Beetle_Train,What do you think the red X means?,There will be a short circuit in the battery .,Someone damaged the battery ., ,
SHORT_CIRCUIT_X_Q.27t,Beetle_Train,What do you think the red X means?,There is short circuit and the battery life will die .,There is a short circuit ., ,
SHORT_CIRCUIT_X_Q.28t,Beetle_Train,What do you think the red X means?,That the circuit is bad .,There is a short circuit .,there is a short circuit,
SHORT_CIRCUIT_X_Q.35t,Beetle_Train,What do you think the red X means?,The battery does not work .,Someone damaged the battery ., ,
CONDITIONS_FOR_BULB_TO_LIGHT.78t,Beetle_Train,What are the conditions that are required to make a bulb light up?,A closed path with a battery and a bulb are the conditions required to make a bulb light up .,There is a closed path containing both the bulb and a battery ., ,
CONDITIONS_FOR_BULB_TO_LIGHT.86t,Beetle_Train,What are the conditions that are required to make a bulb light up?,"A closed path between battery and light bulb, with the positive going to the positive output from the battery to the positive side of the bulb, and the negative output from the battery to the negative side of the bulb .","One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery .", ,
CONDITIONS_FOR_BULB_TO_LIGHT.89t,Beetle_Train,What are the conditions that are required to make a bulb light up?,Both terminals of the bulb need to have a power source .,"One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery .","One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery",
CONDITIONS_FOR_BULB_TO_LIGHT.96t,Beetle_Train,What are the conditions that are required to make a bulb light up?,A closed path must contain the bulb and battery .,The bulb and the battery are in a closed path ., ,
CONDITIONS_FOR_BULB_TO_LIGHT.98t,Beetle_Train,What are the conditions that are required to make a bulb light up?,A bulb can only light up if each of the 2 spots are connected to the batteries' negative component and positive component .,"One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery .", ,
VOLTAGE_AND_GAP_DISCUSS_Q.26t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",That someone no longer connected the bulbs .,Someone did not connect the terminals ., ,
VOLTAGE_AND_GAP_DISCUSS_Q.31t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",That there is a gap and one found the nonfunctional light bulb .,There is a gap ., ,
VOLTAGE_AND_GAP_DISCUSS_Q.35t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",One found the broken bulb .,Someone damaged the bulb ., ,
VOLTAGE_AND_GAP_DISCUSS_Q.39t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",There is a difference in electrical states .,Someone did not connect the terminals .,Someone did not connect the terminals,
VOLTAGE_AND_GAP_DISCUSS_Q.44t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?","That when the voltage reading is zero, the terminals are connected, when the voltage reading is 1.5, the terminals are not connected . It jumps from connected to not connected .",The terminals are not connected ., ,
SWITCH_TABLE_EXPLAIN_Q3.51t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch affects a bulb if the bulb is on the same pathway as the switch .,A switch will affect a bulb when the same path contains the switch and the bulb ., ,
SWITCH_TABLE_EXPLAIN_Q3.54t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch will affect a bulb if the bulb and the switch are in the path as the battery .,A switch will affect a bulb when the same path contains the switch and the bulb ., ,
