"student_answer_id","question_paper","question_type","question_text","student_answer","model_answer","gap"
"MX.24.388.1","Scients_Train","Concept-completion","How does one know when a solid and a liquid form a solution?","When one can see through the solution. When the solid gets dissolved into the liquid.","The solid dissolves (seems to disappear) and the liquid remains clear."," "
"MX.24.389.1","Scients_Train","Concept-completion","How does one know when a solid and a liquid form a solution?","When one mixes a solid and a liquid the solution is clear.","The solid dissolves (seems to disappear) and the liquid remains clear.","The solid dissolves ( seems to disappear )"
"MX.24.390.1","Scients_Train","Concept-completion","How does one know when a solid and a liquid form a solution?","Because the mixture is clear.","The solid dissolves (seems to disappear) and the liquid remains clear.","The solid dissolves ( seems to disappear )"
"MX.24.393.1","Scients_Train","Concept-completion","How does one know when a solid and a liquid form a solution?","The solution is clear and can be separated with evaporation.","The solid dissolves (seems to disappear) and the liquid remains clear.","The solid dissolves ( seems to disappear )"
"MX.24.394.1","Scients_Train","Concept-completion","How does one know when a solid and a liquid form a solution?","one can see through the mixture , and one material has dissolved.","The solid dissolves (seems to disappear) and the liquid remains clear."," "
"MX.24.433.1","Scients_Train","Concept-completion","How does one know when a solid and a liquid form a solution?","A solid and a liquid form a solution when they create one type of something like chocolate milk.","The solid dissolves (seems to disappear) and the liquid remains clear.","The solid dissolves ( seems to disappear ) . the liquid remains clear"
"EM.21a.139.1","Scients_Train","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Scratch one mineral against the other.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other."," "
"EM.21a.278.1","Scients_Train","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Rubbing the minerals together.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other.","see which one scratches the other"
"EM.21a.284.1","Scients_Train","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Use the person's fingernail.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other.","Rub the minerals together . see which one scratches the other"
"EM.21a.435.1","Scients_Train","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","A person could rub the minerals together.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other.","see which one scratches the other"
