student_answer_id,question_paper,question_type,question_text,student_answer,model_answer,gap
7.4.24,UNT,Concept-completion,How are linked lists passed as arguments to a function?,Linked lists are passed by using pointers .,One passes linked lists as arguments to a function by reference .,reference
9.2.3,UNT,Concept-completion,What are the two main functions defined by a queue?,The two main functions are enqueue which inserts an item at the back of the queue and dequeue which removes an item from the front of the queue .,A queue defines two main functions enqueue and dequeue ., 
9.2.8,UNT,Concept-completion,What are the two main functions defined by a queue?,Remove the item added first,A queue defines two main functions enqueue and dequeue ., 
9.2.27,UNT,Concept-completion,What are the two main functions defined by a queue?,A queue defines two main functions rear and front .,A queue defines two main functions enqueue and dequeue .,enqueue . dequeue
11.1.1,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements the name of the class file,A class definition includes function members and data members .,function members
11.1.3,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements the function prototypes,A class definition includes function members and data members ., 
11.1.4,UNT,Concept-completion,What are the elements typically included in a class definition?,Class is user defined . It contains members,A class definition includes function members and data members ., 
11.1.6,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements the functions and variables used when one defines the object for the class .,A class definition includes function members and data members .,data members
11.1.8,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements return type and input parameters .,A class definition includes function members and data members .,function members . data members
11.1.12,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements the variables and function prototypes .,A class definition includes function members and data members .,data members
11.1.13,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements public and private variables and initialization of functions included in the class .,A class definition includes function members and data members .,function members
11.1.14,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements the return value and the accepted value .,A class definition includes function members and data members .,function members . data members
11.1.16,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements parameters and their type,A class definition includes function members and data members .,data members
11.1.18,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements Constructor,A class definition includes function members and data members .,data members
11.1.22,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements constructor,A class definition includes function members and data members .,data members
11.1.23,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes class name data of class definition of functions and methods .,A class definition includes function members and data members ., 
11.1.24,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition includes the definitions of the class 's constructor ( s ) and any public or private functions . Of course,A class definition includes function members and data members .,data members
